county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,note,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,geo_method,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Lee,91189,23702,Twentieth,✓,✓,✖,✓,?,?,?,✖,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,"Evictions Active, but Tenant Removal Paused",?,https://www.leeclerk.org/,https://www.ca.cjis20.org/home/main/homepage.asp,lee,?,?,"A Lee County Sheriff’s Office spokeswoman said,” As of right now, evictions are temporarily suspended due to COVID-19.” Both Collier and Lee county court systems told the Daily News that they are still accepting open cases, including evictions.
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recPScqwGMyVPx5zs,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Lee County, Florida",26.5999265,-81.8823135,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Madison,1782,370,Third,✓,?,✖,?,?,?,?,✖,NA,"Evictions Active, but Tenant Removal Paused",?,https://www.madisonclerk.com/,https://thirdcircuitfl.org/,madison,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec6neJWCVWTjYf6J,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Madison County, Florida",30.4514352,-83.4524524,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Collier,42803,11079,Twentieth,✓,✓,✖,✓,✓,?,?,✖,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,"Evictions Active, but Tenant Removal Paused",✖,https://apps.collierclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,collier,?,?,"Both Collier and Lee county court systems told the Daily News that they are still accepting open cases, including evictions. Previously (Mar 18): The Collier County Sheriff’s Office referred to a Florida Supreme Court administrative order that does not directly address evictions
",NA,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,recnURTVRp0W7GXkb,Twentieth,(✓),(✓),✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Collier County, Florida",26.087964,-81.3794941,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Hardee,2579,713,Tenth,✓,?,✖,?,✓,✖,?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,"Evictions Active, but Tenant Removal Paused",?,http://www.hardeeclerk.com/,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,hardee,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs. Office closed: <http://www.hardeeclerk.com/drop/drop.pdf>
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec77nUjPsHtjbtrC,Tenth,✖,✖,✓,✓,✓,✓,✓,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hardee County, Florida",27.4856349,-81.8196804,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Flagler,10863,3049,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://flaglerclerk.com/,http://www.circuit7.org/,flagler,?,?,"
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,recTs4dgoI1YScYqQ,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Flagler County, Florida",29.4844412,-81.2917415,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Glades,1015,242,Twentieth,✓,?,✖,?,✖,?,?,✖,NA,"Evictions Active, but Tenant Removal Paused",?,https://gladesclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,glades,?,?,"
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec0aXmprDjkQFpn9,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Glades County, Florida",26.9328123,-81.1895983,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Miami-Dade,451763,134723,Eleventh,✓,✓,✖,✖,✖,✖,✖,✖,https://www.jud11.flcourts.org/docs/1-20-08%20A1%20COVID-19%20EMERGENCY%20PROCEDURES%20AMENDING%20SUSPENSION%20OF%20TIME%20PERIODS%20SET%20FORTH%20IN%20ADMINISTRATIVE%20ORDER%20NO.%2020-08_CONFORMED.pdf,Evictions Suspended,✖,http://www.miami-dadeclerk.com/,https://www.jud11.flcourts.org/coronavirus,miami-dade,?,?,"LSGMI: Clerk is closed as of 3/30
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,recaflZh1YKLyoVMD,Eleventh,✓,✓,✓,(✓),✓,✓,✓,"https://www.jud11.flcourts.org/docs/1-20-10%20EVICTIONS%20UNDER%20THE%20CORONAVIRUS%20AID,%20RELIEF,%20AND%20ECONOMIC%20SECURITY%20ACT%20(THE%20CARES%20ACT%20)-CONFORMED.pdf",✓,"Required before final judgment
",2020-05-21T02:35:16.000Z,"Miami-Dade County, Florida",25.6364246,-80.4989467,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,3,3,3
Leon,42957,12619,Second,✓,✓,✖,?,✖,✖,✓,✖,http://www.leoncountyso.com/departments/judicial-services/civil-process-unit,"Evictions Active, but Tenant Removal Paused",?,https://cvweb.clerk.leon.fl.us/public/index.html,http://2ndcircuit.leoncountyfl.gov/,leon,?,?,"No civil paperwork will be processed until further notice. Civil Process Division is closed and only serving Injunctions/Emergency Ex-Parte Orders, as-needed.  When I spoke with the dispatch person, Kathy, she said  they are not serving the Evictions, nor are they serving the Writs of Possession and that they closed the Civil Process Division on 03/18/2020.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,reckvUuF1K5gXX1kq,Second,✖,✖,✓,(✓),✓,✓,✓,http://www.leoncountyso.com/departments/judicial-services/civil-process-unit,NA,NA,2020-05-21T02:35:16.000Z,"Leon County, Florida",30.4683062,-84.2549068,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Liberty,652,147,Second,✓,✓,✖,?,?,(✓),✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,"Evictions Active, but Tenant Removal Paused",✖,https://libertyclerk.com/,http://2ndcircuit.leoncountyfl.gov/,liberty,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency. Clerks website 'Foreclosure hearings and sales and evictions have been postponed until further notice. Please call 850 643-2215 if you have questions.'
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recXTBitKj7dFNgF1,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Liberty County, Florida",30.2506943,-84.8955989,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Orange,223433,67432,Ninth,✓,✓,✖,✖,✖,✓,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,Evictions Suspended,✖,https://www.myorangeclerk.com/,https://www.ninthcircuit.org/news/covid-19-information-and-update,orange,?,?,"Review of docket and discussion with private process server shows no new summons or writs since 3/18
",NA,2020-06-05T15:39:30.000Z,2020-06-02,NA,NA,2020-03-22T20:00:09.000Z,recDCCfunEPrgBVGo,Ninth,✖,✖,✖,✖,✖,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Orange County, Florida",28.5421109,-81.3790304,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Sumter,5734,1561,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Evictions Suspended,?,https://www.sumterclerk.com/,https://www.circuit5.org/administrative-orders/?term=covid-19,sumter,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-05-22T19:10:06.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recpTYs33LmwxiyFI,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Sumter County, Florida",28.6689748,-82.076402,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Okaloosa,28168,7659,First,✓,✓,✖,✓,?,✓,✓,?,https://www.firstjudicialcircuit.org/sites/default/files/document_library/OCAD2020-03%20s-block.pdf,"Evictions Active, but Tenant Removal Paused",✖,http://www.okaloosaclerk.com/,https://www.firstjudicialcircuit.org/,okaloosa,?,?,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recV8iczj7T9N0459,First,(✓),✖,✓,✓,✓,✓,✓,http://www.okaloosaclerk.com/index.php/news-releases/206-public-announcement-court-rescheduling,NA,NA,2020-05-21T02:35:16.000Z,"Okaloosa County, Florida",30.6765961,-86.6037748,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,-3,0
Highlands,10201,2822,Tenth,✓,?,✖,?,✓,(✓),?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,"Evictions Active, but Tenant Removal Paused",?,http://hcclerk.org/Home.aspx,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,highlands,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs. Payments can be made by mail or phone. <http://www.hcclerk.org/Home/News/20-03-20/Changes_to_Court_Proceedings_due_to_COVID-19.aspx>
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recAcuXSEeayF7SFH,Tenth,✖,✖,✓,✓,✓,✓,✓,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Highlands County, Florida",27.3513186,-81.3615717,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Clay,18974,4377,Fourth,✓,✓,✖,?,✓,✓,(✓),✖,https://www.clayclerk.com/wp-content/uploads/2020/05/Covid-19-Admin-Order-April-30-2020-extension-to-June-1.pdf,Evictions Suspended,✖,https://www.clayclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,clay,?,?,"Extension: <https://www.clayclerk.com/wp-content/uploads/2020/05/Covid-19-Admin-Order-April-30-2020-extension-to-June-1.pdf> Rent drop box. If tenant answers, status hearing set and rent not due until that hearing. No writs issued or served, unless judge authorizes.
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,"Clay County requires tenants to file a timely written answer, but rent deposits are now due before the date of the status hearing. ",NA,2020-03-22T20:00:09.000Z,recNGJUmvlwoabEpn,Fourth,✖,✖,✓,(✓),✓,✓,✓,https://www.clayclerk.com/wp-content/uploads/2020/03/Covid-19-Admin-Order-March-20-2020-foreclosures-sales-evictionwrits.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Clay County, Florida",29.9766524,-81.8470596,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,-3,3,3,0
Putnam,7050,1915,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,"Evictions Active, but Tenant Removal Paused",✖,http://clerk.putnam-fl.com/,http://www.circuit7.org/,putnam,?,?,"
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,recFmq1haVgFF8LlK,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Putnam County, Florida",29.6266155,-81.7230549,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Union,1083,241,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Evictions Suspended,✖,https://unionclerk.com/,https://circuit8.org/covid-19/,union,?,?,"Sheriff active, but court has not sent any since 3/24
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,Residential and commercial  evictions for non-payment are suspended,NA,2020-03-22T20:00:09.000Z,recAPLMhbgiCXhKeN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Union County, Florida",30.044304,-82.3954479,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Broward,260777,80940,Seventeenth,✓,?,✖,?,?,✖,(✓),✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,Evictions Suspended,✖,https://www.browardclerk.org/,http://www.17th.flcourts.org/,broward,✖,✖,"Landlords may seek default in extraordinary cases

Deadlines not tolled, but equivalent: No defaults may be entered until normal operations resume, LL cannot seek default outside exigent circumstances
",NA,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,recRHksHqGAsH4pv7,Seventeenth,✖,✖,✓,✓,✓,✓,✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,✓,"Prior to any party seeking a final judgment of eviction, such party shall complete and file a verification of compliance with the CARES Act in the same format as provided in Attachment “A.” This requirement shall expire without further administrative order or amendment to this administrative order on July 28, 2020
",2020-05-21T02:35:16.000Z,"Broward County, Florida",26.1598074,-80.4623642,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,-3,-3,3,3,3
Nassau,7301,1615,Fourth,✓,✓,✖,✖,✖,✖,✖,✖,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/Nassau-AO-2020-16-Ext-of-Emergency-Procedures.aspx,Evictions Suspended,✖,https://www.nassauclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,nassau,(✓),?,"Rent drop box. Serving writs unless protected by federal moratorium.

\- 4/6 - New Admin Order suspends all eviction cases after filing until further order of the court
",TRUE,2020-05-22T19:21:17.000Z,NA,NA,2020-07-02,2020-03-22T20:00:09.000Z,recrNJ3W2tXlDBsyg,Fourth,✖,✖,✓,✓,✓,✓,✓,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/AO-2020-11-Nassau-Foreclosures-and-Evictions.aspx,NA,NA,2020-05-21T02:34:53.000Z,"Nassau County, Florida",30.6624329,-81.7707334,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,3,3,3,3,0
Baker,1999,442,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Evictions Suspended,✖,http://www.bakercountyfl.org/clerk/,https://circuit8.org/covid-19/,baker,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,Residential and commercial  evictions for non-payment are suspended,NA,2020-03-22T19:51:25.000Z,recDAlLJjmIKYAeYN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Baker County, Florida",30.3143459,-82.2847163,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Lafayette,604,125,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,"Evictions Active, but Tenant Removal Paused",?,https://www.lafayetteclerk.com/,https://thirdcircuitfl.org/,lafayette,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recdsmc26vWvR1Z2b,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Lafayette County, Florida",29.9978185,-83.2221527,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Hernando,15471,4848,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Evictions Suspended,?,https://www.hernandoclerk.com/,https://www.circuit5.org/administrative-orders/?term=covid-19,hernando,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-05-22T19:10:06.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recFdSGgedIj533PR,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hernando County, Florida",28.5710156,-82.4605068,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gadsden,4805,1081,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,"Evictions Active, but Tenant Removal Paused",?,http://www.gadsdenclerk.com/,http://2ndcircuit.leoncountyfl.gov/,gadsden,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec9rQG9qYpkkQ3IY,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Gadsden County, Florida",30.5937346,-84.6389937,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
DeSoto,3263,903,Twelfth,✓,✓,✖,✖,?,✖,✖,?,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,Evictions Suspended,✖,https://www.desotoclerk.com/,https://www.jud12.flcourts.org/News/COVID-19,desoto,?,✖,"
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,NA,NA,2020-03-22T20:00:09.000Z,recx3SGrtMoue06Te,Twelfth,✖,✖,✖,✖,✓,✓,✖,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,NA,NA,2020-05-21T02:35:16.000Z,"DeSoto County, Florida",27.190253,-81.8244232,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,-0.5,-3,-3,3,3,-3,0
Pasco,50129,14303,Sixth,✓,?,✖,?,?,?,?,?,https://www.tampabay.com/news/health/2020/03/27/evictions-foreclosures-could-be-halted-under-florida-supreme-court-coronavirus-order/,"Evictions Active, but Tenant Removal Paused",✖,https://www.pascoclerk.com/,http://www.jud6.org/,pasco,?,?,"Evictions and foreclosures are suspended for 45 days in Florida in response to the COVID-19 emergency, the result of an order issued by Gov. Ron DeSantis. The Tampa Bay Times has details. Unaffected: Because they are not foreclosures or evictions, per se, tax-deed sales will go forward as scheduled. The next sale is set for April 23.

Additionally, our Office continues to receive and begin to process new applications for foreclosure, issuing them only after Gov. DeSantis ends the suspension.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,reclwFDmw912hKcal,Sixth,✖,✖,✓,✓,✓,✓,✓,https://www.pascoclerk.com/809/COVID-19-Coronavirus-Pandemic,NA,NA,2020-05-21T02:35:16.000Z,"Pasco County, Florida",28.2996183,-82.4522702,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,-3,0
Seminole,63192,15583,Eighteenth,✓,✖,✖,✖,✖,?,✖,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,Evictions Suspended,✖,https://www.seminoleclerk.org/,https://flcourts18.org/covid-19-emergency-information/,seminole,?,?,"The Sheriff and all Process Servers are directed to suspend all service of process...The suspension of time limits for service shall
restore additional days equal to the number stated herein.
",NA,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,recCJWpjomAmBwdYg,Eighteenth,✖,✖,✖,✖,✖,✓,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Seminole County, Florida",28.7225829,-81.2353683,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,3,-3,3,3,3,0
Holmes,1646,413,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://holmesclerk.com/,https://www.jud14.flcourts.org/,holmes,?,✖,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recMLJFa7YbkW7jYz,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Holmes County, Florida",30.8918676,-85.8138207,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Jefferson,1298,292,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,"Evictions Active, but Tenant Removal Paused",✖,https://www.jeffersonclerk.com/,http://2ndcircuit.leoncountyfl.gov/,jefferson,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency.  Civil Process Division (Cricket), she said they are not serving the Writs of Possession, but serving all others.  She said they stopped serving the Writs of Possession on March 23, 2020, when they received the Executive Order.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec674IkXUViopbjP,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Jefferson County, Florida",30.3949531,-83.9326576,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Bay,27643,6941,Fourteenth,✓,✓,✖,✓,?,✓,✓,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,"Evictions Active, but Tenant Removal Paused",✖,http://www.baycoclerk.com/,https://www.jud14.flcourts.org/,bay,?,✖,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T19:51:25.000Z,recxm2zp08v85xOXD,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Bay County, Florida",30.2481693,-85.6593633,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Levy,3365,750,Eighth,✓,✓,✖,✖,✓,?,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Evictions Suspended,✖,https://www.levyclerk.com/,https://circuit8.org/covid-19/,levy,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,Residential and commercial  evictions for non-payment are suspended,NA,2020-03-22T20:00:09.000Z,rec7m1HfwICOzVKOF,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Levy County, Florida",29.3008632,-82.7824592,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Charlotte,16352,4546,Twentieth,✓,?,✖,?,✓,?,?,✖,NA,"Evictions Active, but Tenant Removal Paused",?,https://charlotteclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,charlotte,?,?,"
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec7hwVjNGWpF9FDh,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Charlotte County, Florida",26.9013269,-81.9156799,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
