x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,brief_summary_of_what_order_does,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,state_field
281,OHIO (OH) SUMMARY,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdiction. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",Court,Y,,3/27/20,3/9/20,N/A,,N,N,N,Y,N,N/A,N/A,N/A,Y,7/30/20,N,N,N,N,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OHIO
287,OKLAHOMA (OK) SUMMARY,Local Discretion,"The Supreme Court of Oklahoma order staying civil cases is ambigious regarding its application to eviction cases. Many county-level district courts have stayed civil cases, but explicitly exempted forcible detainer and entry proceedings. The Supreme Court has closed all courts to public and extended court deadlines and statute of limitations through 5/15/20, but has stated they will begin to run and courts will begin to schedule non-jury hearings on 5/16. The court has also stated that orders issued from 3/16 to 5/15 are presumptively valid and enforceable, which means that the over 1500 orders of eviction issued since the beginning of the pandemic will be enforceable once law enforcement personnel are available.",Court,Y,,,,N/A,,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,Local Discretion,N,N,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OKLAHOMA
292,OREGON (OR) SUMMARY,Eviction Cases & Nonpayment Eviction Enforcement Suspended,"The Chief Judge of Oregon postponed all first appearances and trials for evictions, and many county circuit courts postponed all eviction related matters. The Governor of Oregon issued Executive Order No. 20-11, which places a temporary moratorium on execution of residential evictions related to non-payment; and Executive Order No. 20-13, which places a temporary moratorium on landlord terminations of residential rental agreements and non-residential leases. The Governor's order also prohibits charging late fees. Most counties and some cities have also limited the eviction moratorium to non-payment cases, and a few have extended it to no-cause evictions. Under the Chief Judge's order, while hearings and proceedings for civil cases are generally postponed, the cases with statutory or constitutional mandates requiring them to be held during the moratorium period will still continue. All judicial districts have postponed jury trials and are taking measures to limit hearings and proceedings conducted during this time.",Court/Governor,Y,,,,6/30/20,,Y,Y,Y,Y,N,N,Y,Non-payment,N,N/A,N,Y,Y,Y,N,Nonpayment,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OREGON
298,PENNSYLVANIA (PA) SUMMARY,Eviction Cases Suspended,"The Governor issued an executive order preventing the filing of an eviction and tolling any evictions for 60 days until July 10, 2020. The Supreme Court of Pennysylvania initially placed a freeze on eviction proceedings and judgments through 5/1/20. Supplemental orders have extended this to 5/11/20, after which time the suspension of these proceeings ""shall cease.""",Court,Y,,,,7/10/20,,N,Y,Y,N,Y,N,N,Non-payment,Y,7/10/20,Y,Y,In Effect Y,In Effect Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PENNSYLVANIA
304,RHODE ISLAND (RI) SUMMARY,Eviction Cases Suspended,"The Rhode Island Supreme Court has issued an order stating that evictions may not be filed or heard until after 5/17 and that any eviction order issued prior to 3/17/20, however, can still be executed. However, the court will resume evictions on June 1, 2020. The Governor urged landlords not to act on eviction orders that had been previously ordered, but did not issue a declaration, stating: “If you’re a landlord listen to me. You are not evicting anyone until April 17. If you are a renter and you’re stressed out and you can’t pay rent because you’ve lost your job and you get an eviction notice, ignore it.” The state's Public Utilities Commission has issued a moratorium on utility shutoffs until 5/20 for residential customers and 3/31/20 for commercial customers. Similar measures regarding utilities have been taken at the local level in Providence, East Providence, Newport, and Warwick.",Court,Y,,,,6/1/20,6/1/20,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/29/20 (only deadlines that would have expired between 3/17 and 5/17),N,N,Y,Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHODE ISLAND
308,SOUTH CAROLINA (SC) SUMMARY,Evictions Can Resume (Remote),"The Supreme Court of South Carolina issued an order that all evictions will resume on 5/15/20. Previously the court issued a moratorium on all eviction and foreclosure matters. This order reschedules all evictions currently ordered to a date after 5/1/20 and prohibits courts from accepting applications for ejectment, scheduling hearings, issuing writs or warrants of ejectment, or proceeding in any other manner regarding evictions. Case-by-case exceptions for evictions may be made for matters that involve essential services and/or harm to person or property. There is also a moratorium on foreclosure hearings, foreclosure sales, writs of assistance and writs of ejectments. In all other cases, local courts have discretion over pandemic response.",Court,Y,,,,N/A,5/15/20,Y,Y,Y,N,Y,Y,N,N/A,Y,5/22/20,N,N,Y,Y,Y,N,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH CAROLINA
317,SOUTH DAKOTA (SD) SUMMARY,Local Discretion,"The Supreme Court of the State of South Dakota declared a judicial emergency and authorized circuit courts to adoopt, modify or suspend court rules to prevent the spread of COVID-19. None of the circuit court orders suspend evictions or civil proceedings generally. The Governor has explicitly stated that she will not consider an eviction or utility shutoff moratorium. One of South Dakota's largest utilities provider has implemented a moratorium on service disconnections for nonpayment, as have the cities of Brookings, Rapid City and Sioux Falls. Finally, the city of Sioux Falls has established a fund to help residents adversely affected by COVID-19; the Sioux Falls Metropolitan Statistical Area (Minnehaha, Lincoln, McCook and Turner counties) has done similarly, to help residents avoid ""evictions and financial hardships.""",Court,Local Discretion,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Local Discretion,,N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH DAKOTA
319,TENNESSEE (TN) SUMMARY,Eviction Cases Suspended,"The Supreme Court of Tennessee suspensed all judges, clerks and court officials from taking any action to effectuate an eviction, ejectment, or other displacement based on failure to make rent. The court also encouraged remote proceedings in other cases. Local courts have issued additional orders and the Davidson County's Sheriff suspended all evictions, foreclosures, and utility shutoffs until further notice.",Court,N,,,,5/31/20,,Y,Y,Y,N,N,Y,Y,Non-payment,Y,6/5/20,N,N,N,Y,In Effect Y,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TENNESSEE
324,TEXAS (TX) SUMMARY,Evictions Can Resume (In Person),The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act.,Court,Y,,,,5/19/20,5/19/20,Y,Y,Y,N,N,Y,N,N/A,Y,5/18/20,N,N,Y,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEXAS
331,UTAH (UT) SUMMARY,Evictions Can Resume (Remote),"The Utah Supreme Court activated the Pandemic Response Plan and alloweed local courts to implement their own district pandemic response plans. The Utah Supreme Court ordered district courts to perform all mission-critical functions, which do not seem to include eviction proceedings and allows for remote hearings. The Governor of Utah issued and emergency declaration prohibting enforcement of eviction actions only where the tenant is current on rent payments as of 3/31/20 and has suffered job loss or lost income because of COVID-19. Where tenant's COVID-19 related nonpayment is in question, free mediation is available.",Court/Governor,COVID-19 Related,,,,5/15/20 (governor),5/15/20,Y,Y,Y,N,N,N/A,Y,Non-payment related to COVID-19,N/A,N/A,N,N,N,N,N,COVID-19 Related,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTAH
337,VERMONT (VT) SUMMARY,Eviction Cases & Enforcement Suspended,"The Supreme Court of Vermont had suspended all non-emergency civil cases, at the discretion of the judge but ordered hearings resume on June 1. State lawmakers passed and the governor signed on May 14 emergency legislation that stays evictions cases, orders and executions until the end of the emergency.",Court,Y,,,,end of emergency,,N,Y,Y,N,N,Y,N,N/A,N,N/A,N,N,N,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VERMONT
343,VIRGINIA (VA) SUMMARY,Eviction Can Resume (In Person),"The Supreme Court of Virginia continued all eviction proceedings until May 17, 2020. The Governor directed state agencies to assist Virginians in avoiding evictions and foreclosures. The Attorney General has sent warning letters to landlords threatening to evict tenants during the COVID-19 pandemic.",Court/Governor,Y,,,,5/17/20,5/17/20,N,Y,Y,N,N,Y,N,N/A,Y,6/7/20,N,N,N,Y,Y,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIRGINIA
350,WASHINGTON (WA) SUMMARY,Eviction Cases & Enforcement Suspended,The Governor of Washington issued a temporary moratorium on all commerical and residential evictions and prohibits law enforcement from enforcing past orders of eviction. The Governor's Proclamation provides an exception for cases where a landlord/owner can show that eviction is necessary for a public health or safety reason.The Governor's order also prohibits property owners from assessing late fees. Seattle has extended eviction protections for 6 months after the state's moratorium expires.,Court/Governor,Y,,,,6/4/20 (governor),,Y,Y,Y,N,N,Y,N,N/A,N,N/A,N,Y,Y,Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WASHINGTON
357,WEST VIRGINIA (WV) SUMMARY,Evictions Can Resume (In Person),"The West Virginia Supreme Court of Appeals issued an order staying all trials, proceedings, statutes of limitations and other court deadlines for non-emergency actions between March 22 and May 15. Courts to resume in person proceedings on May 18. The city of Morgantown has suspended utilities service disconnections.",Court,Y,,,,N/A,5/15/20,N,Y,N,N,N,N/A,N/A,N/A,Y,5/18/20 (for deadlines expiring between 3/23 and 4/17); 6/12/20 (for deadlines expiring between 4/18 and 5/15),N,N,N,In Effect Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEST VIRGINIA
362,WISCONSIN (WI) SUMMARY,Nonpayment Eviction Cases and Enforcement Suspended,"The Governor has prohibited the commencement of eviction actions based on failure to pay rent and foreclosure and has prohibited the sheriffs from initiating a sheriff's sale of foreclosed property or execution of eviction orders. The Supreme Court of Wisconsin has suspended in person hearings statwide and is requiring the use of technology in lieu of in person courtroom appearances. Wisconsin has directed court personnel to conduct proceedings using technology but has not cancelled or continued proceedings generally and left discrection to local courts. Some county circuit courts have postponed many types of hearings, often including eviction cases. In some locations, however, circuit courts have specified that evictions will proceed, in some cases noting that appearances should occur by telephone. There is a statutory time limit in Wisconsin for scheduling hearings after a party has raised a defense in an eviction action. (Wis. Stat. 799.206) In Wisconsi, evictions are small claims cases.",Court/Governor,Y,,,,5/28/20 (governor),,Y,Y,Y,Y,Y,Y,Y,Non-payment,N/A,N/A,N,Y,Y,N,In Effect Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WISCONSIN
367,WYOMING (WY) SUMMARY,Local Discretion,"The Supreme Court of Wyoming orders that in person cases ""should"" be suspended and encourages the use of remote technology.",Court,Local Discretion,,,,N/A,,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WYOMING
372,AMERICAN SAMOA (AS) SUMMARY,No Order/Declaration,No order,No Order/ Declaration,No Order/ Declaration,,,,N/A,,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,N/A,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMERICAN SAMOA
374,DISTRICT OF COLUMBIA (DC) SUMMARY,Eviction Cases & Enforcement Suspended,"The DC Superior Court suspended landlord tenant and civil cases and stayed eviction and foreclosure cases until at least May 15. The D.C. Council passed emergency legisliation prohibiting filing and execution of evictions, foreclosures, and late fees during the time period for which the Mayor has declared a public health emergency. The legislation also prohibits utility shutoffs and requires a COVID-19 hardship alert on any consumer report. If a property has 5 or more units, property owners must offer tenants a payment plan program for past due rent and cannot report any tenant participating in the program to collections.",Court/Legislation,Y,,,,post-emergency,,N,Y,Y,N,Y,N,N,N/A,N,5/15/20,N,N,Y,Y,Y,Y,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DISTRICT OF COLUMBIA
383,FEDERATED STATES OF MICRONESIA (FM) SUMMARY,No Order/Declaration,"The FSM National Judiciary issued an order tolling deadlines expiring between 4/3 and 4/30 until 5/22, and encouraging courts to come up with plans to continue essential functions. The order allows civil proceedings to be held remotely upon request but does not suspend nonessential proceedings.",Court,Y,,4/3/20,4/3/20,open,,Y,Y,N,N,N,N/A,N/A,N/A,Y,filing deadlines from 4/3--4/30 are tolled to 5/22,N,N,N,N,N,N,N,,Tolls deadlines; allows remote proceedings upon request. Nothing is suspended but order requests that courts plan for an outbreak/how to continue essential functions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEDERATED STATES OF MICRONESIA
385,GUAM (GU) SUMMARY,Eviction Cases & Enforcement Suspended,"The Supreme Court of Guam has suspended all civil and criminal cases and tolled filing deadlines through 4/15/20. The Governor of Guam issued an emergency declaration prohibiting the initiation of any eviction or foreclosure actions involving real estate or property, whether rental or otherwise and tolled eviction and foreclosure actions currently in process for the duration of the public health emergency. The order does not clearly halt execution of past orders of eviction.",Court/Governor,Y,,,,6/5/20 (court) end of public health emergency (governor),,N,Y,Y,Y,Y,N,N,N/A,Y,6/5/20 (court) duration of public health emergency (governor),N,N,Y,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GUAM
392,MARSHALL ISLANDS (MH) SUMMARY,No Order/Declaration,No Order,No Order/ Declaration,No Order/ Declaration,N/A,,,N/A,,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSHALL ISLANDS
394,NORTHERN MARIANA ISLANDS (MP) SUMMARY,Civil Cases Suspended,"All civil trials are suspended and will be resecheduled after June 5. This should include evictions, although the order does not mention them explicitly.",Court,Y,,4/1/20,4/4/20,6/5/20,,N,Y,N,N,N,N/A,N/A,N/A,N,,N,N,N,In Effect Y,N,N,N,,All civil trials/hearings postponed to date after 6/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTHERN MARIANA ISLANDS
396,PALAU (PW) SUMMARY,Civil Cases Suspended,"The Supreme Court of the Republic of Palau suspended normal court operations, including in person hearings and proceedings with limited exceptions (non-housing related) and tolled the filing dates until 4/17/20.",Court,Y,,,,4/17/20,,N,Y,N,N,N,N/A,N/A,N/A,Y,4/17/20,N,N,N,In Effect Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PALAU
398,PUERTO RICO (PR) SUMMARY,Civil Cases Suspended,"The United States District Court of Puerto Rico suspended all civil cases and stayed all eviction proceedings in foreclosure cases, citing the eviction moratorium issued by the U.S. Department of Housing and Urban Development and Federal Housing Finance Agency. The Court also denied all motions filed and pending judicial action in those foreclosure cases, which can be refiled on 5/30/20. Utility disconnections have been suspended.",Court,Y,,,,5/4/20 (civil) 5/30/20 (foreclosure),,N,Y,N,N,Y,N/A,N/A,Post-Foreclosure Eviction,N,N/A,N,N,N,In Effect Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUERTO RICO
403,VIRGIN ISLANDS (VI) SUMMARY,Eviction Cases & Enforcement Suspended,The Supreme Court of the Virgin Islands stayed all orders of eviction and foreclosure not yet executed until 4/27/20. Filings are essential service and will continue to be allowed.,Court,Y,,,,6/1/20,,N,Y,Y,N,Y,N/A,N,N/A,Y,the longer of 6/1/20 or 14 days,N,N,N,In Effect Y,Y,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIRGIN ISLANDS
