county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,note,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,legal_aid,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Sarasota,48900,13016,Twelfth,✓,✓,✖,✖,?,?,?,?,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.sarasotaclerk.com/,https://www.jud12.flcourts.org/News/COVID-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,sarasota,?,✖,"
",TRUE,2020-06-24T15:37:39.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,rechugt70QpgPDlKu,Twelfth,✖,✖,✖,✖,✓,✓,✖,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,NA,NA,2020-05-21T02:35:16.000Z,"Sarasota County, Florida",27.1813609,-82.3609195,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,-0.5,-3,-3,-3,3,-3,0
Volusia,64336,18057,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.clerk.org/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,volusia,?,?,"
",TRUE,2020-06-24T15:38:20.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recyhNaiZ0kGT8bEr,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Volusia County, Florida",29.0533409,-81.1310761,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Gilchrist,1029,229,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.gilchristclerk.com/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,gilchrist,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:37:07.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recC6NT7e5cxxRNBE,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Gilchrist County, Florida",29.7131619,-82.7975172,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Okeechobee,3931,937,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.clerk.co.okeechobee.fl.us/,http://www.circuit19.org/covid19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,okeechobee,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recT5xxEmRVhf7feX,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Okeechobee County, Florida",27.3923408,-80.8873655,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Lee,91189,23702,Twentieth,✓,✓,✖,✓,?,?,?,✖,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.leeclerk.org/,https://www.ca.cjis20.org/home/main/homepage.asp,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,lee,?,?,"A Lee County Sheriff’s Office spokeswoman said,” As of right now, evictions are temporarily suspended due to COVID-19.” Both Collier and Lee county court systems told the Daily News that they are still accepting open cases, including evictions.
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recPScqwGMyVPx5zs,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Lee County, Florida",26.5999265,-81.8823135,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Madison,1782,370,Third,✓,?,✖,?,?,?,?,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.madisonclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,madison,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec6neJWCVWTjYf6J,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Madison County, Florida",30.4514352,-83.4524524,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Collier,42803,11079,Twentieth,✓,✓,✖,✓,✓,?,?,✖,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://apps.collierclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,collier,?,?,"Both Collier and Lee county court systems told the Daily News that they are still accepting open cases, including evictions. Previously (Mar 18): The Collier County Sheriff’s Office referred to a Florida Supreme Court administrative order that does not directly address evictions
",NA,2020-06-24T15:36:49.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recnURTVRp0W7GXkb,Twentieth,(✓),(✓),✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Collier County, Florida",26.087964,-81.3794941,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Hardee,2579,713,Tenth,✓,?,✖,?,✓,✖,?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.hardeeclerk.com/,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hardee,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs. Office closed: <http://www.hardeeclerk.com/drop/drop.pdf>
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec77nUjPsHtjbtrC,Tenth,✖,✖,✓,✓,✓,✓,✓,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hardee County, Florida",27.4856349,-81.8196804,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Flagler,10863,3049,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://flaglerclerk.com/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,flagler,?,?,"
",TRUE,2020-06-24T15:37:01.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recTs4dgoI1YScYqQ,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Flagler County, Florida",29.4844412,-81.2917415,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Glades,1015,242,Twentieth,✓,?,✖,?,✖,?,?,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://gladesclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,glades,?,?,"
",NA,2020-06-24T15:37:11.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec0aXmprDjkQFpn9,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Glades County, Florida",26.9328123,-81.1895983,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Miami-Dade,451763,134723,Eleventh,✓,✓,✖,✖,✖,✖,✖,✖,https://www.jud11.flcourts.org/docs/1-20-08%20A1%20COVID-19%20EMERGENCY%20PROCEDURES%20AMENDING%20SUSPENSION%20OF%20TIME%20PERIODS%20SET%20FORTH%20IN%20ADMINISTRATIVE%20ORDER%20NO.%2020-08_CONFORMED.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,http://www.miami-dadeclerk.com/,https://www.jud11.flcourts.org/coronavirus,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,miami-dade,?,?,"LSGMI: Clerk is closed as of 3/30
",TRUE,2020-06-24T15:37:39.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recaflZh1YKLyoVMD,Eleventh,✓,✓,✓,(✓),✓,✓,✓,"https://www.jud11.flcourts.org/docs/1-20-10%20EVICTIONS%20UNDER%20THE%20CORONAVIRUS%20AID,%20RELIEF,%20AND%20ECONOMIC%20SECURITY%20ACT%20(THE%20CARES%20ACT%20)-CONFORMED.pdf",✓,"Required before final judgment
",2020-05-21T02:35:16.000Z,"Miami-Dade County, Florida",25.6364246,-80.4989467,8,2,0,0,NA,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,3,3,3
Leon,42957,12619,Second,✓,✓,✖,?,✖,✖,✓,✖,http://www.leoncountyso.com/departments/judicial-services/civil-process-unit,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://cvweb.clerk.leon.fl.us/public/index.html,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,leon,?,?,"No civil paperwork will be processed until further notice. Civil Process Division is closed and only serving Injunctions/Emergency Ex-Parte Orders, as-needed.  When I spoke with the dispatch person, Kathy, she said  they are not serving the Evictions, nor are they serving the Writs of Possession and that they closed the Civil Process Division on 03/18/2020.
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,reckvUuF1K5gXX1kq,Second,✖,✖,✓,(✓),✓,✓,✓,http://www.leoncountyso.com/departments/judicial-services/civil-process-unit,NA,NA,2020-05-21T02:35:16.000Z,"Leon County, Florida",30.4683062,-84.2549068,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Liberty,652,147,Second,✓,✓,✖,?,?,(✓),✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://libertyclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,liberty,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency. Clerks website 'Foreclosure hearings and sales and evictions have been postponed until further notice. Please call 850 643-2215 if you have questions.'
",TRUE,2020-06-24T15:37:30.000Z,NA,NA,2020-03-22T20:00:09.000Z,recXTBitKj7dFNgF1,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Liberty County, Florida",30.2506943,-84.8955989,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Orange,223433,67432,Ninth,✓,✓,✖,✖,✖,✓,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.myorangeclerk.com/,https://www.ninthcircuit.org/news/covid-19-information-and-update,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,orange,?,?,"Review of docket and discussion with private process server shows no new summons or writs since 3/18
",NA,2020-06-24T15:37:39.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recDCCfunEPrgBVGo,Ninth,✖,✖,✖,✖,✖,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Orange County, Florida",28.5421109,-81.3790304,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Sumter,5734,1561,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.sumterclerk.com/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,sumter,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recpTYs33LmwxiyFI,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Sumter County, Florida",28.6689748,-82.076402,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Okaloosa,28168,7659,First,✓,✓,✖,✓,?,✓,✓,?,https://www.firstjudicialcircuit.org/sites/default/files/document_library/OCAD2020-03%20s-block.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://www.okaloosaclerk.com/,https://www.firstjudicialcircuit.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,okaloosa,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recV8iczj7T9N0459,First,(✓),✖,✓,✓,✓,✓,✓,http://www.okaloosaclerk.com/index.php/news-releases/206-public-announcement-court-rescheduling,NA,NA,2020-05-21T02:35:16.000Z,"Okaloosa County, Florida",30.6765961,-86.6037748,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,-3,0
Highlands,10201,2822,Tenth,✓,?,✖,?,✓,(✓),?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://hcclerk.org/Home.aspx,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,highlands,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs. Payments can be made by mail or phone. <http://www.hcclerk.org/Home/News/20-03-20/Changes_to_Court_Proceedings_due_to_COVID-19.aspx>
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recAcuXSEeayF7SFH,Tenth,✖,✖,✓,✓,✓,✓,✓,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Highlands County, Florida",27.3513186,-81.3615717,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Clay,18974,4377,Fourth,✓,✓,✖,?,✓,✓,(✓),✖,https://www.clayclerk.com/wp-content/uploads/2020/05/Covid-19-Admin-Order-April-30-2020-extension-to-June-1.pdf,"Clay County requires tenants to file a timely written answer, but rent deposits are now due before the date of the status hearing. Apply for free legal aid services at tinyurl.com/flonlineintake",Evictions Suspended,✖,https://www.clayclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,clay,?,?,"Extension: <https://www.clayclerk.com/wp-content/uploads/2020/05/Covid-19-Admin-Order-April-30-2020-extension-to-June-1.pdf> Rent drop box. If tenant answers, status hearing set and rent not due until that hearing. No writs issued or served, unless judge authorizes.
",TRUE,2020-06-24T15:36:45.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recNGJUmvlwoabEpn,Fourth,✖,✖,✓,(✓),✓,✓,✓,https://www.clayclerk.com/wp-content/uploads/2020/03/Covid-19-Admin-Order-March-20-2020-foreclosures-sales-evictionwrits.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Clay County, Florida",29.9766524,-81.8470596,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,-3,3,3,0
Putnam,7050,1915,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://clerk.putnam-fl.com/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,putnam,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recFmq1haVgFF8LlK,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Putnam County, Florida",29.6266155,-81.7230549,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Union,1083,241,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://unionclerk.com/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,union,?,?,"Sheriff active, but court has not sent any since 3/24
",TRUE,2020-06-24T15:37:44.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recAPLMhbgiCXhKeN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Union County, Florida",30.044304,-82.3954479,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Broward,260777,80940,Seventeenth,✓,?,✖,?,?,✖,(✓),✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,NA,Evictions Suspended,✖,https://www.browardclerk.org/,http://www.17th.flcourts.org/,https://lasbroward.wpengine.com/notice-regarding-the-coronavirus,broward,✖,✖,"Landlords may seek default in extraordinary cases

Deadlines not tolled, but equivalent: No defaults may be entered until normal operations resume, LL cannot seek default outside exigent circumstances
",NA,2020-06-24T15:24:16.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recRHksHqGAsH4pv7,Seventeenth,✖,✖,✓,✓,✓,✓,✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,✓,"Prior to any party seeking a final judgment of eviction, such party shall complete and file a verification of compliance with the CARES Act in the same format as provided in Attachment “A.” This requirement shall expire without further administrative order or amendment to this administrative order on July 28, 2020
",2020-05-21T02:35:16.000Z,"Broward County, Florida",26.1598074,-80.4623642,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,-3,-3,3,3,3
Nassau,7301,1615,Fourth,✓,✓,✖,✖,✖,✖,✖,✖,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/Nassau-AO-2020-16-Ext-of-Emergency-Procedures.aspx,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.nassauclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,nassau,(✓),?,"Rent drop box. Serving writs unless protected by federal moratorium.

\- 4/6 - New Admin Order suspends all eviction cases after filing until further order of the court
",TRUE,2020-06-24T15:35:45.000Z,NA,2020-07-02,2020-03-22T20:00:09.000Z,recrNJ3W2tXlDBsyg,Fourth,✖,✖,✓,✓,✓,✓,✓,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/AO-2020-11-Nassau-Foreclosures-and-Evictions.aspx,NA,NA,2020-05-21T02:34:53.000Z,"Nassau County, Florida",30.6624329,-81.7707334,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,3,3,3,3,0
Baker,1999,442,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,http://www.bakercountyfl.org/clerk/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,baker,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:36:05.000Z,2020-06-02,NA,2020-03-22T19:51:25.000Z,recDAlLJjmIKYAeYN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Baker County, Florida",30.3143459,-82.2847163,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Lafayette,604,125,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.lafayetteclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,lafayette,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recdsmc26vWvR1Z2b,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Lafayette County, Florida",29.9978185,-83.2221527,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Hernando,15471,4848,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.hernandoclerk.com/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hernando,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recFdSGgedIj533PR,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hernando County, Florida",28.5710156,-82.4605068,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gadsden,4805,1081,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.gadsdenclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,gadsden,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency
",TRUE,2020-06-24T15:37:01.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec9rQG9qYpkkQ3IY,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Gadsden County, Florida",30.5937346,-84.6389937,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
