municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,has_expired_protections,bool_legist_exist,bool_rent_relief_exist,bool_court_exist
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,,2020-05-31 07:00:00,,2020-05-31 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2xESCEL,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,FALSE,FALSE,FALSE,TRUE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,,2020-05-31 07:00:00,,2020-05-31 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2xESCEL,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,FALSE,FALSE,FALSE,TRUE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,,2020-05-31 07:00:00,,2020-05-31 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2xESCEL,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,FALSE,FALSE,FALSE,TRUE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,,2020-05-31 07:00:00,,2020-05-31 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2xESCEL,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,FALSE,FALSE,FALSE,TRUE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who experience COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and provide documentation within 30 days of when rent is due. Commercial tenants experiencing only partial loss of income shall pay pro-rata share of rent corresponding to reduced income. Tenants must repay unpaid amounts within 6 months of the local emergency's expiration, and landlords may charge late fees or interest.",Legistlative Eviction Protection,https://www.hermosabeach.gov/Home/ShowDocument?id=13530,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who experience COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and provide documentation within 30 days of when rent is due. Commercial tenants experiencing only partial loss of income shall pay pro-rata share of rent corresponding to reduced income. Tenants must repay unpaid amounts within 6 months of the local emergency's expiration, and landlords may charge late fees or interest.",Legistlative Eviction Protection,https://www.hermosabeach.gov/Home/ShowDocument?id=13530,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who experience COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and provide documentation within 30 days of when rent is due. Commercial tenants experiencing only partial loss of income shall pay pro-rata share of rent corresponding to reduced income. Tenants must repay unpaid amounts within 6 months of the local emergency's expiration, and landlords may charge late fees or interest.",Legistlative Eviction Protection,https://www.hermosabeach.gov/Home/ShowDocument?id=13530,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Hermosa Beach,California,United States,City,33.86428,-118.39591,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who experience COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and provide documentation within 30 days of when rent is due. Commercial tenants experiencing only partial loss of income shall pay pro-rata share of rent corresponding to reduced income. Tenants must repay unpaid amounts within 6 months of the local emergency's expiration, and landlords may charge late fees or interest.",Legistlative Eviction Protection,https://www.hermosabeach.gov/Home/ShowDocument?id=13530,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Hillsboro,Oregon,United States,City,45.5228939,-122.989827,TRUE,2020-05-20 07:00:00,2020-05-20 07:00:00,,,"Residential and commercial eviction ban for nonpayment of rent, late charges, utility charges, or any other fees due to COVID-related loss of income.",Legistlative Eviction Protection,https://hillsboro-oregon.civicweb.net/document/17506/Resolution%20No.%202659.pdf?handle=8018E1D199394556AA313635913431FB,https://www.pdxtu.org/,Eviction Cases & Nonpayment Eviction Enforcement Suspended,"Before the Governor's eviction moratorium expired on 6/30, the legislature passed two bills which suspend both foreclosures (HB4204) and residential and commercial evictions for non-payment/no cause (HB4213) until 9/30. The eviction moratorium also institutes a six-month gace period to pay back rent (until 3/31/21) accrued during the moratorium period. The state has also allocated funding for rent relief through local organizations. Anyone who makes up to 50% of the median state income is elligible, with priority going to those impacted by COVID-19.",7,8,7,2,2,0,-5,0,0,-8,1,USA,2,TRUE,TRUE,FALSE,FALSE
Idaho,Idaho,United States,State,43.6447642,-114.0154071,TRUE,,,,,"Idaho had a moratorium on evictions. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system, and are therefore hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs.",,https://www.idahostatesman.com/news/business/article241684311.html,,Evictions Can Resume (Remote),"Idaho had a statewide order directing that eviction cases be continued except for emergencies. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system and are hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs.",-9.5,0,0,2,0,0,0,0,0,-11.5,0,USA,1,FALSE,FALSE,FALSE,FALSE
Illinois,Illinois,United States,State,40.0796606,-89.4337288,TRUE,2020-08-22 07:00:00,2020-08-22 07:00:00,,2020-08-22 07:00:00,"A person or entity may not commence a residential eviction action unless a tenant poses a direct threat to the health and safety of other tenants, an immediate and severe risk to property, or a violation of any applicable building code, health ordinance, or similar regulation. Law enforcement is prohibited from evicting tenants.",,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-30.aspx,https://autonomoustenantsunion.org/,Eviction Cases & Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The order also stated that ""a person or entity may not commence a residential eviction action."" This order has been extended through 8/22. The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines. The State Supreme Court has ruled that plaintiffs in all residential actions must file an affidavit certifying that the property at issue is not covered under the CARES Act. The state has funded a rental and mortgage assistance program for residents struggling to make payments as a result of COVID-19. Additional funding has also been provided to the state's low income energy assistance program (LIHEAP). A moratorium on utility disconnections is in place until 8/1.",12.5,0,2,3,0,0,0,0,0,7.5,0,USA,2,FALSE,TRUE,FALSE,TRUE
Imperial Beach,California,United States,City,32.5839444,-117.1130849,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential evictions for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing within 30 days of when rent is due and document inability to pay.,Legistlative Eviction Protection,https://www.imperialbeachca.gov/vertical/sites/%7BF99967EB-BF87-4CB2-BCD5-42DA3F739CA1%7D/uploads/2020-15_COVID_19_-_Eviction_Moratorium_Signed.pdf,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",4,8,2,3,-5.5,0,-5,0,0,1.5,0,USA,2,TRUE,TRUE,FALSE,FALSE
Imperial County,California,United States,County,33.0305487,-115.3595666,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and document inability to pay. Tenants must also repay unpaid amounts within 120 days of the emergency's expiration, and landlords cannot charge late or collection fees.",Legistlative Eviction Protection,http://www.icphd.org/,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14.5,8,2,3,-4,0,0,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Indiana,Indiana,United States,State,40.3270127,-86.1746933,TRUE,2020-08-01 07:00:00,2020-08-01 07:00:00,,2020-08-01 07:00:00,"Executive order pausing evictions and foreclosures until the state of emergency is over. Tenants and homeowners will still be obligated to make up the payments. Public housing authorities have also been asked to extend deadlines for eligibility requirements for public housing. Governor Eric Holcomb ordered that evictions and foreclosure actions/proceedings may not be brought March 19, 2020 until the executive order declaring a state of emergency in Indiana is halted by the governor. The Supreme Court of Indiana issued clarifying guidance that filings are still being accepted, and urging courts to consider public health, safety, and property values when using their discretion to decide whether to stay non-emergency proceedings. The governor's order also requests that public housing authorities extend deadlines for housing assistance recipients or applicants. Finally, each circuit and superior court in Indiana has issued a slightly different version suspending most civil proceedings although none of these applied explictly to eviction proceedings or foreclosures. The majority of districts suspended all civil hearings from 2 weeks up to 1.5 months while the minority of districts suspended only in person hearings/civil jury trials but allowed for teleconferencing or alternative methods for continuing non-essential business. Indiana has also placed a statewide moratorium on utility shut-offs and individual companies have announced that they will further suspend shutoffs.",Legistlative Eviction Protection,https://www.in.gov/judiciary/files/order-other-2020-20S-CB-123c.pdf,,Nonpayment Eviction Cases Suspended,"In May, the Governor issued an executive order lifting the prohibition against emergency eviction and foreclosure actions as of May 22, and all evictions as of July 1. The Supreme Court of Indiana issued clarifying guidance in March that filings are still being accepted, and urging courts to consider public health, safety, and property values when using their discretion to decide whether to stay non-emergency proceedings. On 7/13, households can begin applying for the state's rental assistance program, which provides up to $500 payments for four months. Indiana has also placed a statewide moratorium on utility shut-offs and individual companies have announced that they will further suspend shutoffs. On 6/31, the Governor issued an executive order that extended the moratorium of evictions and foreclosures for non-payment until July 31. Notwithstanding the moratorium, a landlord may institute an emergency eviction or possessory claim where there is specific immediate and serious injury, or loss or damage to the property. Moreover, a lending institution is no longer prohibited from instituting a foreclosure action where the property is vacant or abandoned, or where there is a specific immediate and serious injury, or there is loss or damage to the property.",5.5,8,5,3,2,0,-5,0,0,-7.5,0,USA,2,FALSE,TRUE,FALSE,TRUE
Inglewood,California,United States,City,33.9562003,-118.353132,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"The city has placed a moratorium on evictions for non-payment of rent for tenants who can't afford to pay because of the pandemic—for example, because their hours were cut, thier business closed, they were laid off, or they have to provide childcare because of school closures. Medical costs are also a valid reason if they amount to at least ⅓ of the rent. To be protected, tenants must notify their landlord that they can't afford to pay, and must provide documentation to support their claim (such as pay stubs, time cards, proof of medical care or quarantine, or notices from employers or schools).",Legistlative Eviction Protection,https://www.cityofinglewood.org/AgendaCenter/ViewFile/Item/8986?fileID=4376,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",16.5,8,4,3,0,0,0,0,0,1.5,0,USA,2,TRUE,TRUE,FALSE,FALSE
Iowa,Iowa,United States,State,41.9216734,-93.3122705,TRUE,2020-05-27 07:00:00,2020-05-27 07:00:00,,2020-05-27 07:00:00,"Governor Kim Reynolds has issued three orders suspending statutory provisions that allow plaintiffs to bring eviction and foreclosure actions for the duration of the public health proclamation (currently until 5/27/20). The state Supreme Court has directed that forcible entry and detainer proceedings should either be continued to a date after June 15th, or conducted by phone at a local court's discretion. Utilities are not allowed to be shut off under state order until May 13th.",Legistlative Eviction Protection,https://www.iowalegalaid.org/resource/2020-coronavirus-outbreak-what-you-need-to-know#Evictions,,Evictions Can Resume (Remote),"Governor Kim Reynolds issued three orders suspending statutory provisions that allow plaintiffs to bring eviction and foreclosure actions for the duration of the public health proclamation; these orders expired on May 27th. The state Supreme Court has directed that forcible entry and detainer proceedings should either be continued to a date after June 15th, or conducted by phone at a local court's discretion. Utilities are not allowed to be shut off under state order until the public health emergency is lifted by the Governor. On May 29, the state announced a statewide rent and mortgage relief program.",-7,8,2,2,2,0,-4,-2,-1,-14,0,USA,1,TRUE,TRUE,FALSE,TRUE
Jackson County,Missouri,United States,County,39.03551565,-94.358275933253,TRUE,2020-05-18 07:00:00,,,2020-05-18 07:00:00,Eviction proceedings in court are temporarily suspended in Jackson County.,,https://www.jacksongov.org/DocumentCenter/View/6704/News-Release---Circuit-Court-Operations-during-COVID-19-with-revised-time-lines,https://www.saveourhomes.org/,Local Discretion,"The Supreme Court has issued an operational directive related to reopening the courts to the public. A statewide order had suspended all in-person proceedings, but allowed eviction and foreclosure cases to proceed remotely. Several judicial circuits have issued their own orders postponing eviction cases and directing that they be rescheduled.",-3,0,0,2,0,0,0,0,0,-5,0,USA,1,TRUE,TRUE,FALSE,TRUE
Jefferson County,Kentucky,United States,County,38.1787175,-85.664528,TRUE,,,,,Sheriffs in Louisville are no longer enforcing eviction orders.,,https://wfpl.org/courts-may-be-closed-but-some-evictions-are-still-proceeding/,https://www.facebook.com/pages/category/Local-Business/Tenants-Rights-and-Advocacy-of-Kentucky-TRAAK-227931935953/,Eviction Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the old State Supreme Court's order, except for emergency and statutorily required proceedings, evictions were continued. That order has expired and the courts can hear eviction cases. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",-6.5,0,0,2,0,0,0,0,0,-8.5,0,USA,1,FALSE,FALSE,FALSE,FALSE
Jurupa Valley,California,United States,City,33.9798472,-117.4515754,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"A temporary moratorium on eviction for non-payment of rent by residential tenants impacted by the COVID-19 crisis or no-fault evictions unless there is a hazardous condition. Tenant must, within 30 days after the date that rent is due, (1) notify the landlord in writing of lost income and inability to pay full rent due to financial impacts related to COVID-19, and (2) provide documentation to support the claim.",Legistlative Eviction Protection,https://drive.google.com/file/d/1zTZ1rH6342iDbyTSV1wh0VH2mTD0ltbC/view,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14,8,4,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Kansas,Kansas,United States,State,38.27312,-98.5821872,TRUE,2020-05-26 07:00:00,2020-05-26 07:00:00,,2020-05-26 07:00:00,"Governor Laura Kelly has declared that eviction and foreclosure proceedings cannot be brought as a result of nonpayment due to financial hardship related to COVID-19; if an eviction is filed, the plaintiff must prove that it's not being brought only because of such financial hardship. Courts in Kansas are conducting only essential functions in person, which do not appear to include evictions and foreclosures; however, the court states that nonessential functions may still move forward to the extent local resources allow. Both the Kansas Corporation Commission and the Governor of Kansas have issued orders prohibiting disconnection of utilities for nonpayment during the pandemic.",,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-10-Executed.pdf,,Evictions Can Resume (Remote),"Courts in Kansas are completing only essential functions in person, which do not appear to include evictions and foreclosures. As of 05/01, deadlines for judicial proceedings were suspended, but judges may issue orders in individual cases, including eviction cases, setting deadlines for cases to move forward. Before its expiration on May 31, Governor Kelly's executive order declared that eviction and foreclosure proceedings could not be brought as a result of nonpayment due to financial hardship related to COVID-19.",-7,0,0,3,0,0,0,0,0,-10,0,USA,1,TRUE,TRUE,FALSE,TRUE
Kendall County,Illinois,United States,County,41.5853584,-88.4319488,TRUE,2020-04-17 07:00:00,,,2020-04-17 07:00:00,Courts will not enforce writs of possession stemming from eviction notices or foreclosures.,,https://www.daily-chronicle.com/2020/03/14/update-dekalb-kendall-county-courts-to-suspend-select-cases-for-30-days-due-to-covid-19/asoxhtw/,https://autonomoustenantsunion.org/,Eviction Cases & Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The order also stated that ""a person or entity may not commence a residential eviction action."" This order has been extended through 8/22. The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines. The State Supreme Court has ruled that plaintiffs in all residential actions must file an affidavit certifying that the property at issue is not covered under the CARES Act. The state has funded a rental and mortgage assistance program for residents struggling to make payments as a result of COVID-19. Additional funding has also been provided to the state's low income energy assistance program (LIHEAP). A moratorium on utility disconnections is in place until 8/1.",9.5,0,2,3,0,0,0,0,0,4.5,0,USA,2,TRUE,TRUE,FALSE,TRUE
Kenmore,Washington,United States,City,47.7573202,-122.2440148,TRUE,2020-06-04 07:00:00,2020-06-04 07:00:00,,,Moratorium on evictions. Sheriffs will not cary out evictions in King County.,Legistlative Eviction Protection,https://www.wmfha.org/news/covid-19-eviction-moratorium,https://rentstrike.noblogs.org/,Eviction Cases & Enforcement Suspended,"The Governor of Washington issued a temporary moratorium on residential evictions and prohibited law enforcement from enforcing past orders of eviction until August 1, 2020. The order also forbids assessing late fees or raising rent during this period. It further requires landlords to offer reasonable repayment plans when non-payment was a result of Covid-19 related hardship. Cases in which the landlord/owner can show that eviction is necessary for health or safety or where the landlord seeks to sell or personally occupy the property are excepted. The city of Seattle has also extended the right to a repayment plan, a moratorium on late fees, and established the inability to pay rent as a defense to eviction for 6 months after the civil emergency expires.",19.5,8,2,2,0,0,0,0,0,6.5,1,USA,3,TRUE,TRUE,FALSE,FALSE
Kentucky,Kentucky,United States,State,37.5726028,-85.1551411,TRUE,2020-05-31 07:00:00,2020-07-01 07:00:00,,2020-05-31 07:00:00,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the State Supreme Court's order, except for emergency and statutorily required proceedings, evictions are continued and new evictions cannot be filed until 30 days after the expiration of the order. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",,https://kycourts.gov/courts/supreme/Rules_Procedures/202028.pdf,https://www.facebook.com/pages/category/Local-Business/Tenants-Rights-and-Advocacy-of-Kentucky-TRAAK-227931935953/,Eviction Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the old State Supreme Court's order, except for emergency and statutorily required proceedings, evictions were continued. That order has expired and the courts can hear eviction cases. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",2.5,0,0,2,0,0,0,0,0,0.5,0,USA,1,TRUE,TRUE,FALSE,TRUE
