municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,lat1,long,geo_method,geo,has_expired_protections
El Paso,Texas,United States,City,31.7754152,-106.4646348,TRUE,2020-05-18 07:00:00,,,2020-05-18 07:00:00,El Paso put a hold on notices to vacate and evictions until local emergency orders are lifted.,,https://www.tpr.org/post/its-fairly-merciless-texas-resume-evictions-san-antonio-renter-protection-ordinance-dies,,Eviction Cases can Resume (Remote or In-Person),The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act.,16.5,0,0,3,0,0,0,0,0,13.5,0,USA,2,,,,,TRUE
Elk Grove,California,United States,City,38.4087993,-121.3716178,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Moratorium on tenant evictions for residential and commercial renters. It applies to tenants who have suffered a household or business income loss of 20% or have had to pay 20% of their income in medical bills as a result of COVID-19. Elk Grove businesses with at least $25 million in gross sales would not qualify for the protection, excluding franchisees. If a renter does qualify for protection, they must still pay what they can reasonably pay at the time rent is due. The protections allow tenants who can show that they have been affected by the coronavirus up to 120 days to pay rent after the end of the emergency order. The tenant must tell their landlord of their situation before rent is due. The city also will not shut off waste or drainage services for late payments.",Legistlative Eviction Protection,http://www.elkgrovecity.org/UserFiles/Servers/Server_109585/File/City%20Government/City%20Council/Ordinances/2020/03-25-2020_3.2_08-2020.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5,8,2,3,-5,1,-1,-3,-1.5,1.5,0,USA,2,,,,,TRUE
Emeryville,California,United States,City,37.8314089,-122.2865266,TRUE,2020-06-30 07:00:00,2020-06-30 07:00:00,,,The city has placed a moratorium on all evictions. Tenants are still obligated to pay rent. The city will also consider creating a grant program for low-income renters to apply for monthly financial assistance.,Legistlative Eviction Protection,https://emeryville.legistar.com/View.ashx?M=F&ID=8220076&GUID=C9170208-8B7C-475C-86DD-1FDE2DC2ED81,www.tenantstogether.org,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",19.5,10,7,3,2,1,-5,0,0,1.5,0,USA,3,,,,,TRUE
Encinitas,California,United States,City,33.0369867,-117.2919818,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Emergency moratorium on all residential and commercial evictions on rent due on or after 3/27/20 for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing before rent is due, each time rent is due and for rents due between 3/27/20 and 4/1/20 by 4/7/20, and document inability to pay within 2 weeks of each notice. Tenants must also repay unpaid amounts within 6 months of the emergency's expiration, and landlords cannot charge late or collection fees.",Legistlative Eviction Protection,https://www.lassd.org/sites/default/files/imce/Articles/LASSD%20Eviction%20Moratorium%20FAQ%20-%20City%20of%20Encinitas%204.7.20.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14,8,4,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,FALSE
Escondido,California,United States,City,33.1216751,-117.0814849,TRUE,2020-05-21 07:00:00,2020-05-31 07:00:00,,2020-05-21 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2y8cX5E,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,8,2,3,-3,0,-3,0,0,1.5,0,USA,2,,,,,TRUE
Española City,New Mexico,United States,City,35.9910962,-106.0808358,TRUE,,,,,"Emergency declaration passed on March 27 prohibits landlords from evicting residential and commercial tenants who, because of the public health emergency, are unable to pay rent on time.",Legistlative Eviction Protection,http://www.riograndesun.com/news/new-mexico-landlords-can-still-sue-to-evict-tenants/article_454e761e-801b-11ea-a593-ff49bd4b32ae.html,,Nonpayment Eviction Enforcement Suspended,"The New Mexico Supreme Court has stayed the execution of writs of restitution for nonpayment of rent under NMSA 1978, Section 47-8-46 (A) if the resident has demonstrated by a preponderance of the evidence a current inability to pay rent. The New Mexico Supreme Court has also stayed the execution of writs of restitution for mobile homes. Two major cities in New Mexico have taken action: (1) Santa Fe: The mayor has placed a moratorium on evictions for non-payment of rent for tenants who can't afford to pay because of the pandemic. Water shut-offs are also banned. Collection of lodger’s taxes has been delayed, and all public buses are free; (2) Albuquerque: All evictions from city-owned properties are suspended.",10,8,2,2,0,0,0,0,0,-2,0,USA,2,,,,,FALSE
Essex County,New Jersey,United States,County,40.7913922,-74.2479444,TRUE,2020-06-01 07:00:00,2020-06-01 07:00:00,,,"The city will not tolerate landlords evicting residents during this pandemic. No evictions in Essex County can lawfully take place, so we are reminding residents and landlords that evictions are illegal during the moratorium.",Legistlative Eviction Protection,https://www.tapinto.net/towns/newark/sections/coronavirus-news/articles/as-unemployment-mounts-during-covid-19-newark-renters-are-also-contending-with-illegal-evictions,,Eviction Cases & Enforcement Suspended,"Governor Phil Murphy signed an Executive Order on 3/19 that halts removal of residents pursuant to evictions or foreclosure proceedings. The EO does not halt initiation or continuation of eviction and foreclosure proceedings. In addition, the Supreme Court cancelled landlord/tenant calendars until April 26th and suspended evictions. The state has enacted a temporary rental assistance program. The New Jersey Housing and Mortgage Finance Agency has suspended rent increases at eligible facilities until the governor's order declaring a state of emergency is withdrawn (and after this there must be 30 days notice). The Assembly is also considering a bill that would require forbearance of residential and commercial mortgages, as well as other loans, and tenant rent upon request.",23,8,7,3,0,0,-3,0,0,8,0,USA,3,,,,,TRUE
Eureka,California,United States,City,40.8020712,-124.1636729,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,2020-05-31 07:00:00,,Emergency moratorium on all evictions of residential tenants who demonstrate COVID-19 related inabilities to pay rents. or for no-fault evictions. Tenants must notify landlords in writing of inability to pay and provide documentation on or before 5/31/20. Tenants will have up to 180 days post-emergency to repay any back rent. Landlords cannot charge late or collection fees. Rent increases are also banned through the duration.,Legistlative Eviction Protection,https://lostcoastoutpost.com/2020/mar/31/eureka-city-council-passes-moratorium-evictions-te/,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",17,8,4,3,-5.5,0,-1,3,0,1.5,4,USA,2,,,,,TRUE
Everett,Washington,United States,City,47.9673056,-122.2013998,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Eviction moratorium; Sheriff will also not enforce evictions,Legistlative Eviction Protection,https://everettwa.gov/DocumentCenter/View/24163/031720_Mayor-Franklin-issues-temporary-moritorium-on-evictions,,Eviction Cases & Enforcement Suspended,"The Governor of Washington issued a temporary moratorium on residential evictions and prohibited law enforcement from enforcing past orders of eviction until August 1, 2020. The order also forbids assessing late fees or raising rent during this period. It further requires landlords to offer reasonable repayment plans when non-payment was a result of Covid-19 related hardship. Cases in which the landlord/owner can show that eviction is necessary for health or safety or where the landlord seeks to sell or personally occupy the property are excepted. The city of Seattle has also extended the right to a repayment plan, a moratorium on late fees, and established the inability to pay rent as a defense to eviction for 6 months after the civil emergency expires.",13.5,8,7,2,0,0,-5,0,0,0.5,1,USA,2,,,,,TRUE
Fairborn,Ohio,United States,City,39.8208998,-84.0193858,TRUE,,,,,Courts are closed and eviction cases postponed.,,https://www.fairbornmunicipalcourt.us/,,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdictions. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",-6,0,0,2,0,0,0,0,0,-8,0,USA,1,,,,,FALSE
Fayette County,Kentucky,United States,County,38.0280648,-84.4722444,TRUE,2020-07-25 07:00:00,,,2020-07-25 07:00:00,"Fayette and other Kentucky counties halted evictions Friday after Gov. Andy Beshear said during a Thursday press conference that all evictions should temporarily halt as people are asked to stay home and away from crowds. As of June, landlords of fed backed rentals ignoring july 25 eviction deadline.",,https://www.kentucky.com/news/local/counties/fayette-county/article241311656.html,,Eviction Cases & Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the State Supreme Court's order, except for emergency and statutorily required proceedings, evictions are continued and new evictions cannot be filed until 30 days after the expiration of the order. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",10.5,0,2,2,0,0,0,0,0,6.5,0,USA,2,,,,,FALSE
Fillmore,California,United States,City,34.383958,-118.9365955,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Emergency moratorium on all residential evictions for tenants who demonstrate COVID-19 related inabilities to pay rents, and on no-fault evictions. Tenants must notify landlords in writing within 30 days after rent is due and document inability to pay. Tenants must also repay unpaid amounts within 6 months of the emergency's expiration, and landlords cannot charge late or collection fees.",Legistlative Eviction Protection,http://aagla.org/wp-content/uploads/2020/04/3752-Prohibiting-Evictions-COVID-19-signed.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11.5,8,4,3,-4,0,-1,0,0,1.5,0,USA,2,,,,,FALSE
Florida,Florida,United States,State,27.7567667,-81.4639835,TRUE,2020-08-01 07:00:00,2020-08-01 07:00:00,,2020-08-01 07:00:00,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until May 29th.",Legistlative Eviction Protection,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-94.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",9.5,8,2.5,3,2,0,-5,0,0,-1,0,USA,2,,,,,FALSE
Fort Bragg,California,United States,City,39.4534731,-123.81491141575,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents, and on no-fault evictions. Tenants must notify landlords in writing within 7 days before rent is due (except April 1) and document inability to pay within 30 days of when rent is due. Tenants must also repay unpaid amounts within 180 days of the emergency's expiration, and landlords cannot charge late or collection fees.",Legistlative Eviction Protection,https://city.fortbragg.com/DocumentCenter/View/12247/Urgency-Ordinance-960-2020,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
Franklin County,Ohio,United States,County,40.0283162,-83.0076657,TRUE,2020-06-01 07:00:00,,,2020-06-01 07:00:00,Courts have suspended eviction hearings for eight weeks.,,http://www.fcmcclerk.com/documents/court/2020-4-6_Administrative%20Order%2007-2020.pdf,,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdictions. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",0,0,0,2,0,0,0,0,0,-2,0,USA,1,,,,,TRUE
Fremont,California,United States,City,37.5482697,-121.9885719,TRUE,2020-08-28 07:00:00,2020-08-28 07:00:00,,,"Emergency moratorium on all residential (including mobile homes) and small-scale commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants ""should"" notify landlords before rent is due, but must notify landlords in writing and document inability to pay within 5 days after being served with a Notice of Termination. Remains in effect for 6 months following end of the emergency, with the eviction moratorium ending 30 days after the expiration of declared emergency. Landlords can't impose late fees or serve a 5-day notice provided within 90 days after the local emergency expires, tenant repays 50% of overdue rent and expenses; and within 180 days has repaid all outstanding overdue rent and expenses accrued during the emergency. Landlords cannot charge late or collection fees.",Legistlative Eviction Protection,https://www.fremont.gov/3599/Temporary-Moratorium-on-Evictions,https://actionnetwork.org/letters/fremont-eviction-moratorium-during-covid-19-coronavirus-crisis/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",10.5,8,4,3,-6.5,1,-3,3,-1.5,1.5,1,USA,2,,,,,FALSE
Fresno,California,United States,County,36.7394421,-119.7848307,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and document inability to pay. Tenants must also repay unpaid amounts within 6 months of the emergency's expiration,Legistlative Eviction Protection,http://astanehelaw.com/2020/03/20/fresno-tenants-protected-by-fresno-coronavirus-covid-19-eviction-moratorium/,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",13.5,8,2,3,0,0,-1,0,0,1.5,0,USA,2,,,,,TRUE
Fresno,California,United States,County,36.7394421,-119.7848307,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing and document inability to pay. Tenants must also repay unpaid amounts within 6 months of the emergency's expiration,Legistlative Eviction Protection,http://astanehelaw.com/2020/03/20/fresno-tenants-protected-by-fresno-coronavirus-covid-19-eviction-moratorium/,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",13.5,8,2,3,0,0,-1,0,0,1.5,0,USA,2,,,,,TRUE
Fresno,California,United States,City,36.7394421,-119.7848307,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"In response to a request by the City Council at their meeting on April 27, 2020, staff has prepared an urgency ordinance that amends the eviction moratorium ordinance to include a prohibition on rent increases during the eviction moratorium period which is March 4, 2020 through May 31, 2020 (unless extended). The rent freeze applies to residential tenancies, and covers the same types of residential tenancies as are covered in the County of Los Angeles rent freeze order, including the same exemptions as are included in the Los Angeles County order. As with the eviction moratorium, rather than criminal enforcement by the City, the ordinance is intended to create a defense that tenants can use against actions brought by their landlords concerning any rent increases imposed during the moratorium period.",Legistlative Eviction Protection,https://caanet.org/app/uploads/2020/03/Fresno-Eviction-Moratorium.pdf-secured.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
Fresno,California,United States,City,36.7394421,-119.7848307,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"In response to a request by the City Council at their meeting on April 27, 2020, staff has prepared an urgency ordinance that amends the eviction moratorium ordinance to include a prohibition on rent increases during the eviction moratorium period which is March 4, 2020 through May 31, 2020 (unless extended). The rent freeze applies to residential tenancies, and covers the same types of residential tenancies as are covered in the County of Los Angeles rent freeze order, including the same exemptions as are included in the Los Angeles County order. As with the eviction moratorium, rather than criminal enforcement by the City, the ordinance is intended to create a defense that tenants can use against actions brought by their landlords concerning any rent increases imposed during the moratorium period.",Legistlative Eviction Protection,https://caanet.org/app/uploads/2020/03/Fresno-Eviction-Moratorium.pdf-secured.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
Fullerton,California,United States,City,33.8708215,-117.9294165,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,Landlord may not evict residential or commercial tenants for nonpayment if due to decreased income or substantial increase in out-of-pocket medical expenses caused by COVID-19. Written notification and supporting documentation must be submitted to landlord within 30 days after rent is due. Tenant has up to 180 days after expiration to pay unpaid rent.,Legistlative Eviction Protection,https://www.cityoffullerton.com/gov/departments/city_manager/public_information/novel_coronavirus/eviction_moratorium.asp,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11,8,2,3,-5.5,0,-1,3,-1,1.5,1,USA,2,,,,,FALSE
Garden Grove,California,United States,City,33.7746292,-117.9463717,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing on or before the day rent is due, and will have up to 6 months post-emergency to repay any back rent.",Legistlative Eviction Protection,https://ggcity.org/news/eviction-moratorium,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",7,8,2,3,-6.5,0,-1,0,0,1.5,0,USA,2,,,,,TRUE
Gardena,California,United States,City,33.8963593,-118.3053037,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,Eviction moratorium for residential and commercial tenants for non-payment of rent.,Legistlative Eviction Protection,https://drive.google.com/file/d/1i5lLydftvDJnM2Mz-p5roGauIvWaraEb/view,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",6,8,2,3,-5.5,-2,-1,0,0,1.5,0,USA,2,,,,,FALSE
Georgia,Georgia,United States,State,32.3293809,-83.1137366,TRUE,2020-06-12 07:00:00,,,2020-06-12 07:00:00,"Georgia's Supreme Court had issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling. Under the new extension order, all criminal and civil jury trials will continue to be suspended, and courts will be barred from summoning and impaneling new trial and grand juries.",,https://www.gasupreme.us/extend-judicial-emergency/,Housing Justice League,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",-2,0,0,2,0,0,0,0,0,-4,0,USA,1,,,,,TRUE
